ID,Tweet Content
12,"""One of the dumbest tweets about the World Cup yet, and of course from a Brit named “Robert Carter” 

😂"""
13,"""giveaway 30$ | 450,000 IDR 🌹

— rt &amp; rt like quoted tweet!

ends in 24 hours goodluck dears🍒"""
14,"""I would like to say that, Modi ji doing so great as always..
This initiative is going to be so appreciated..#BharatJodoYatra
#India #Buddhism #Buddha  #TestCricket #Qatar2022    #ShahRukhKhan
#Ashwin #BANvsIND #Pathaan #FIFAWorldCup   

https://t.co/WEdUcU4p1r"""
15,"""As Piers Morgan said Qatar World Cup is the best world cup in the history of football.

Finally the west admitted!😅
#FIFAWorldCup"""
16,"""After four and more, some heavy social media and other possibilities have led to inflation and public accountability — as these #QUACK #RIPTwitch #LoveinTheAirspecialep #JusticeForMandyRose #SaveWarriorNun #FIFAWorldCup #XiaoZhan #lovejihaad"""
17,"""The Marketing Genius is Back !!
🔥😭😂🌊❤️👑
Ohh mahn you're too good in Hindi @WayneRooney
PATHAAN DEKHEGA HINDUSTAN https://t.co/y98SIkjpsZ"""
18,"""Wayne Rooney, the highest goalscorer of all time for both England National Team and Manchester United is promoting #Pathaan😂💥❤‍🔥✨

PATHAAN DEKHEGA HINDUSTAN

#FIFAWorldCup https://t.co/BIeB2mgfJL"""
19,"""#Pathaan Mania: Shah Rukh Khan Promises His Presence At #FIFAWorldCup Final, Shares A Quirky Video Along With Wayne Rooney!
#SRK #ShahRukh #ShahRukhKhan #DeepikaPadukone @SRKUniverse @SRKFC_PUNE @SRKCHENNAIFC @iamsrkclub @deepikapadukone 

https://t.co/PM94JyKL7h"""
20,"""Missed BAYC? Don’t miss #FAFC WL Giveaway! #FIFA

Football is not just a game, but an emotion for billion of people ♥️

Complete Task Given Below for WL ⬇️

- RT + 👍 

- Register : https://t.co/zHj3qKAoCC

- Tag 3 frns 

- Join Discord : https://t.co/0OgjQ0ejMk

#FIFAWorldCup https://t.co/k7zlnsVk2S"""
21,"""𝐈𝐭. 𝐂𝐚𝐧𝐧𝐨𝐭. 𝐆𝐞𝐭. 𝐁𝐢𝐠𝐠𝐞𝐫. 𝐓𝐡𝐚𝐧. 𝐓𝐡𝐢𝐬. 🔥

Get into the #FIFAWorldCup Final mode with none other than @iamsrk &amp; @WayneRooney on Dec 18, LIVE on #JioCinema &amp; #Sports18 📺📲

#Qatar2022 #ARGFRA #WorldsGreatestShow #FIFAWConJioCinema #FIFAWConSports18 #Pathaan"""
22,"""Predict the Man of the Match and get a chance to win exciting offers.
1. Like and follow our Twitter Handel to get involved.
2. Predict the name correctly.
3. Add #starplusworldcup to your comments.
4. For refer &amp; earn 👉 https://t.co/ntuQCBgNEG
#WorldCup2022 #FIFAWorldCup 🏆 https://t.co/OEpBgdiR3U"""
23,"""https://t.co/QmBq6knYEq Yassine Bounou's son is supremely adorable | #FIFAWorldCup"""
24,"""My unbiased Argentina and France combined 11.
#ARGFRA #FootballWithDME #FIFAWorldCup #Qatar2022 https://t.co/HnuMrWdNi5"""
25,"""Best mates @AchrafHakimi &amp; @KMbappe share a moment at full-time. 

🎥 @CarrieBrownTV 

#FIFAWorldCup   #Qatar2022 https://t.co/XEx4FPoukK"""
26,"""A fantastic and historic journey - one to be proud of Hakim. 💙

#FIFAWorldCup https://t.co/g2vDyxv0zJ"""
27,"""Sure Wayne Rooney would never have imagined that he'll have to take part in a Bollywood film promotion as well when he signed up with Jio!! But there's always a first time"""
28,"""Wayne Rooney, the highest goalscorer of all time for both England National Team and Manchester United is promoting #Pathaan😂💥❤‍🔥✨

PATHAAN DEKHEGA HINDUSTAN

#FIFAWorldCup https://t.co/BIeB2mgfJL"""
29,"""@KMbappe @AchrafHakimi Where is morraco?
Airport this way👉
#Messi𓃵 
#FIFAWorldCup 
#FIFAワールドカップ"""
30,"""𝐈𝐭. 𝐂𝐚𝐧𝐧𝐨𝐭. 𝐆𝐞𝐭. 𝐁𝐢𝐠𝐠𝐞𝐫. 𝐓𝐡𝐚𝐧. 𝐓𝐡𝐢𝐬. 🔥

Get into the #FIFAWorldCup Final mode with none other than @iamsrk &amp; @WayneRooney on Dec 18, LIVE on #JioCinema &amp; #Sports18 📺📲

#Qatar2022 #ARGFRA #WorldsGreatestShow #FIFAWConJioCinema #FIFAWConSports18 #Pathaan"""
31,"""Poll 
FINAL 

#FIFAWorldCup  #WorldcupQatar2022 #WorldCup2022
#WorldCup 
#WorldcupFinal"""
32,"""Wayne Rooney, the highest goalscorer of all time for both England National Team and Manchester United is promoting #Pathaan😂💥❤‍🔥✨

PATHAAN DEKHEGA HINDUSTAN

#FIFAWorldCup https://t.co/BIeB2mgfJL"""
33,"""𝐈𝐭. 𝐂𝐚𝐧𝐧𝐨𝐭. 𝐆𝐞𝐭. 𝐁𝐢𝐠𝐠𝐞𝐫. 𝐓𝐡𝐚𝐧. 𝐓𝐡𝐢𝐬. 🔥

Get into the #FIFAWorldCup Final mode with none other than @iamsrk &amp; @WayneRooney on Dec 18, LIVE on #JioCinema &amp; #Sports18 📺📲

#Qatar2022 #ARGFRA #WorldsGreatestShow #FIFAWConJioCinema #FIFAWConSports18 #Pathaan"""
34,"""Wayne Rooney, the highest goalscorer of all time for both England National Team and Manchester United is promoting #Pathaan😂💥❤‍🔥✨

PATHAAN DEKHEGA HINDUSTAN

#FIFAWorldCup https://t.co/BIeB2mgfJL"""
35,"""FAFC Genesis Edition ( This collection have maximum supply of 107 NFTs) : https://t.co/bjvgIJMyRm

Full collection of 7,910 NFTs will be launched on 16’Dec’2022! ⚽️🥅

Join Discord : https://t.co/0OgjPZWayc

#FIFA #GOAT𓃵 #FIFA22 #FIFA22 #LeoMessi #Messi #FIFAWorldCup https://t.co/mbkNgYDe1X"""
36,"""FAFC Genesis Edition ( This collection have maximum supply of 107 NFTs) : https://t.co/bjvgIJMyRm

Full collection of 7,910 NFTs will be launched on 16’Dec’2022! ⚽️🥅

Join Discord : https://t.co/0OgjPZWayc

#FIFA #GOAT𓃵 #FIFA22 #FIFA22 #LeoMessi #Messi #FIFAWorldCup https://t.co/mbkNgYDe1X"""
37,"""Win $6000 worth of tokens &amp; NFTs!! @Kommunitas1 @ComearthHQ presenting #Metaverse #WorldCup  
#giveaway  #FIFAWorldCup https://t.co/AjmkPBvmj7"""
38,"""𝐈𝐭. 𝐂𝐚𝐧𝐧𝐨𝐭. 𝐆𝐞𝐭. 𝐁𝐢𝐠𝐠𝐞𝐫. 𝐓𝐡𝐚𝐧. 𝐓𝐡𝐢𝐬. 🔥

Get into the #FIFAWorldCup Final mode with none other than @iamsrk &amp; @WayneRooney on Dec 18, LIVE on #JioCinema &amp; #Sports18 📺📲

#Qatar2022 #ARGFRA #WorldsGreatestShow #FIFAWConJioCinema #FIFAWConSports18 #Pathaan"""
39,"""🏅FIFA World Cup Qatar 2022 Golden Boot Race

🥇Lionel Messi-5⚽️+3🅰️ 114mins/g
🥈Kylian Mbappe-5⚽️+2🅰️ 95mins/g
🥉Julian Alvarez-4⚽️+0🅰️ 91mins/g
4️⃣ Olivier Giroud-4⚽️+0🅰️ 96mins/g

⚖️1st tiebreaker = assists
⚖️2nd tiebreaker = mins per goal

#FIFAWorldCup|#Messi𓃵|#GOAT𓃵 https://t.co/CCRAg5N7i0"""
40,"""Wow finally going to see SRK doing a interview on Indian television... Can't wait .
Two of my absolute favs gonna meet. .so funny how Rooney said "" Mausam bigadne waala hain"".."""
41,"""One book can change your life
#MoroccoVsFrance
#FIFAWorldCup https://t.co/eVSaudcm8Z"""
42,"""Wayne Rooney, the highest goalscorer of all time for both England National Team and Manchester United is promoting #Pathaan😂💥❤‍🔥✨

PATHAAN DEKHEGA HINDUSTAN

#FIFAWorldCup https://t.co/BIeB2mgfJL"""
43,"""Think you are a big football expert? It's time for you to show it.
And why not, when you can win exciting prizes every day!!

Follow our daily #FIFAWorldCup Trivia on vivoice and stand a chance to win everyday! 

Participate now : https://t.co/wxnprnJKPM
#FIFA #WorldCupTrivia https://t.co/SYaD0xDHwL"""
44,"""Wayne Rooney, the highest goalscorer of all time for both England National Team and Manchester United is promoting #Pathaan😂💥❤‍🔥✨

PATHAAN DEKHEGA HINDUSTAN

#FIFAWorldCup https://t.co/BIeB2mgfJL"""
45,"""Ronaldo is best 💖"""
46,"""giveaway 30$ | 450,000 IDR 🌹

— rt &amp; rt like quoted tweet!

ends in 24 hours goodluck dears🍒"""
47,"""Wayne Rooney, the highest goalscorer of all time for both England National Team and Manchester United is promoting #Pathaan😂💥❤‍🔥✨

PATHAAN DEKHEGA HINDUSTAN

#FIFAWorldCup https://t.co/BIeB2mgfJL"""
48,"""Argentina of course ❤️❤️❤️❤️"""
49,"""A champion will be crowned 🔜

#FIFAWorldCup | #Qatar2022"""
50,"""giveaway 30$ | 450,000 IDR 🌹

— rt &amp; rt like quoted tweet!

ends in 24 hours goodluck dears🍒"""
51,"""📊 | Leo Messi in the FIFA World Cup 2022 :

6 Games 👕
5 Goals ⚽️
3 Assists 🅰️
4 MOTM 🏆

ON TO THE FINAL. 🐐🐐🐐🐐🐐#FIFAWorldCup https://t.co/4oChsPMSho"""
52,"""Wayne Rooney, the highest goalscorer of all time for both England National Team and Manchester United is promoting #Pathaan😂💥❤‍🔥✨

PATHAAN DEKHEGA HINDUSTAN

#FIFAWorldCup https://t.co/BIeB2mgfJL"""
53,"""Grand Level ka  Promotion 😍🔥 

#Pathaan  #ShahRukhKhan  #FIFAWorldCup https://t.co/OqfyCG5Ydn"""
54,"""Available for pick up and delivery
N2000 only

#MoroccoVsFrance #RIPTwitch #Mbappe #FIFAWorldCupQatar2022 #FIFAWorldCup https://t.co/urXkKp4ZCi"""
55,"""Chindi gobarbhakts are doing their job for 2 Rupees ......meanwhile #FIFAWorldCup is inviting #ShahRukhKhan to burn down their asses to dust 😂😂😂.

#Pathaan mass https://t.co/LiWdFDeSxG"""
56,"""Wayne Rooney, the highest goalscorer of all time for both England National Team and Manchester United is promoting #Pathaan😂💥❤‍🔥✨

PATHAAN DEKHEGA HINDUSTAN

#FIFAWorldCup https://t.co/BIeB2mgfJL"""
57,"""Argentina vs. France 🇦🇷🇫🇷 looking forward to a great final!
Congratulations to Morocco 🇲🇦 You can be proud of what you‘ve achieved! You have made #FIFAWorldCup history! 👏🏼"""
58,"""Argentina vs. France 🇦🇷🇫🇷 looking forward to a great final!
Congratulations to Morocco 🇲🇦 You can be proud of what you‘ve achieved! You have made #FIFAWorldCup history! 👏🏼"""
59,"""#FIFAWorldCup Finals: Argentina vs France https://t.co/Hjp1W9FKQU"""
60,"""My unbiased Argentina and France combined 11.
#ARGFRA #FootballWithDME #FIFAWorldCup #Qatar2022 https://t.co/HnuMrWdNi5"""
61,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
62,"""A great example how we should live our lives, fierce opponents competing against one another, then showing deep rich character after the event! What a great example + character for young + old today, in a world filled with uncompromising entrenched views &amp; opinions. #WorldCup2022"""
63,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
64,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
65,"""when are we ready."""
66,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
67,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
68,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
69,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
70,"""🇦🇷 Lionel Messi has been involved in 40 goals this season for both PSG &amp; Argentina.

🏟️ 28 games
⚽️ 22 goals
🎯 18 assists

🥇🔝 Scorer 2022 #FIFAWorldCup 
🥇 4 MOTM in 6 games 

🏆Messi may win his 1st World Cup with Argentina.

#Qatar2022|#Messi𓃵|#GOAT𓃵 https://t.co/7FVpGkUB5X"""
71,"""FAFC Genesis Edition ( This collection have maximum supply of 107 NFTs) : https://t.co/bjvgIJMyRm

Full collection of 7,910 NFTs will be launched on 16’Dec’2022! ⚽️🥅

Join Discord : https://t.co/0OgjPZWayc

#FIFA #GOAT𓃵 #FIFA22 #FIFA22 #LeoMessi #Messi #FIFAWorldCup https://t.co/mbkNgYDe1X"""
72,"""#Tradestar247 Offer #WorldCup Fan Appreciation Giveaway!⚽️
10 lucky #winners will get a custom World Cup wallpaper for their mobile phones. 
Join Today
❤️ like this post
🔁 retweet this post
☺️ follow me
#Giveaway #FIFAWorldCup #Qatar2022 #Sports #soccer https://t.co/nqFaL0qXQZ"""
73,"""[Q&amp;A] Why #Betswipe?🤔

It is the easiest way to experience crypto betting. You don't have a headache with a lot of betting features or complicated betting exchange. 

Let's call it ""betting gamification"".😉

#BETSWIPE #Betiverse  #Qatar2022 #FIFAWorldCup #Cryptobetting"""
74,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
75,"""Wayne Rooney, the highest goalscorer of all time for both England National Team and Manchester United is promoting #Pathaan😂💥❤‍🔥✨

PATHAAN DEKHEGA HINDUSTAN

#FIFAWorldCup https://t.co/BIeB2mgfJL"""
76,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
77,"""When you have guest like Zakir Naik at the football world cup, this is inevitable!"""
78,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
79,"""GM fans! ☀️ Here's the #WorldCup2022 journey from the Round of 16 to the Final 🔥

Are you ready to predict the winner? Stay tuned, we'll start a BIG giveaway for the final match TODAY! ⚽️🏆

#FIFAWorldCup #WorldCup #Qatar2022 #airdrop #Airdrops #NFT #NFTCommunity #ARG #FRA https://t.co/PsS5h78ljy"""
80,"""Wayne Rooney, the highest goalscorer of all time for both England National Team and Manchester United is promoting #Pathaan😂💥❤‍🔥✨

PATHAAN DEKHEGA HINDUSTAN

#FIFAWorldCup https://t.co/BIeB2mgfJL"""
81,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
82,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
83,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
84,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
85,"""Who is best for you in world cup, Denmark
 or Serbia?

#nfts #nft #nftart  #nftcollector  #digitalart  #cryptoart #art #ethereum #opensea #nftcollectors #worldcup #football #soccer #fifa   #futbol #fifaworldcup  #qatar #messi #championsleague  #sports  #ronaldo @opensea https://t.co/4vvl0HKlCX"""
86,"""The stage is set for the 2022 World Cup final! ⚽️🏆 Argentina will take on defending champions France on 18 December 2022. Who will win the #FIFAWorldCup2022 ? 

📷 @fifaworldcup

#fifaworldcup2022 #fifaworldcup #fifaworldcupqatar2022 #argentina #argentinavsfrance #francefootball https://t.co/TuXS8kFc6C"""
87,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
88,"""giveaway 30$ | 450,000 IDR 🌹

— rt &amp; rt like quoted tweet!

ends in 24 hours goodluck dears🍒"""
89,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
90,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
91,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
92,"""The Marketing Genius is Back !!
🔥😭😂🌊❤️👑
Ohh mahn you're too good in Hindi @WayneRooney
PATHAAN DEKHEGA HINDUSTAN https://t.co/y98SIkjpsZ"""
93,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
94,"""No cap, topi, burkk kA needed for #FIFAWorldCup trophy... 

Congratulations France 💕

#ArgentinaVsFrace in Final... https://t.co/DcPKObbumu"""
95,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
96,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
97,"""WOW! KING GOAT LEGEND AND STARBOY ALL AT ONCE. JUST WOW!!!!!"""
98,"""Wayne Rooney, the highest goalscorer of all time for both England National Team and Manchester United is promoting #Pathaan😂💥❤‍🔥✨

PATHAAN DEKHEGA HINDUSTAN

#FIFAWorldCup https://t.co/BIeB2mgfJL"""
99,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
100,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
101,"""@KMbappe @AchrafHakimi I made this drawing of Kylian Mbappe in 3 weeks
Kindly Retweet my pencil art 🙏🙏
#Mbappe #Messi #Ronaldo #FIFAWorldCup https://t.co/DEd3fj9u6e"""
102,"""A fantastic and historic journey - one to be proud of Hakim. 💙

#FIFAWorldCup https://t.co/g2vDyxv0zJ"""
103,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
104,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
105,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
106,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
107,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
108,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
109,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
110,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
111,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
112,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
113,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
114,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
115,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
116,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
117,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
118,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
119,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
120,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
121,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
122,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
